Compound,log2_hrs,bel,cal,eng,pil,sak,,,,,,,,,,,,,,,,,,,,,
leucine,698,16.8216,,28.0146,20.7713,36.5859,,,,,,,,,,,,,,,,,,,,,
isoleucine,0,40.0672,40.0672,40.0672,40.0672,40.0672,,,,,,,,,,,,,,,,,,,,,
isoleucine,0,37.9453,37.9453,37.9453,37.9453,37.9453,,,,,,,,,,,,,,,,,,,,,
isoleucine,0,30.676,30.676,30.676,30.676,30.676,,,,,,,,,,,,,,,,,,,,,
isoleucine,0.5,19.8188,19.8188,19.8188,19.8188,19.8188,,,,,,,,,,,,,,,,,,,,,
isoleucine,0.5,19.5159,19.5159,19.5159,19.5159,19.5159,,,,,,,,,,,,,,,,,,,,,
isoleucine,0.5,19.836,19.836,19.836,19.836,19.836,,,,,,,,,,,,,,,,,,,,,
isoleucine,0.75,82.66,82.66,82.66,82.66,82.66,,,,,,,,,,,,,,,,,,,,,
isoleucine,0.75,69.5375,69.5375,69.5375,69.5375,69.5375,,,,,,,,,,,,,,,,,,,,,
isoleucine,0.75,70.615,70.615,70.615,70.615,70.615,,,,,,,,,,,,,,,,,,,,,
isoleucine,1,21.61,21.61,21.61,21.61,21.61,,,,,,,,,,,,,,,,,,,,,
isoleucine,1,19.1214,19.1214,19.1214,19.1214,19.1214,,,,,,,,,,,,,,,,,,,,,
isoleucine,1,18.3394,18.3394,18.3394,18.3394,18.3394,,,,,,,,,,,,,,,,,,,,,
isoleucine,1.25,29.6082,29.6082,29.6082,29.6082,29.6082,,,,,,,,,,,,,,,,,,,,,
isoleucine,1.25,32.7196,32.7196,32.7196,32.7196,32.7196,,,,,,,,,,,,,,,,,,,,,
isoleucine,1.25,31.2871,31.2871,31.2871,31.2871,31.2871,,,,,,,,,,,,,,,,,,,,,
isoleucine,1.87,17.4127,17.4127,17.4127,17.4127,17.4127,,,,,,,,,,,,,,,,,,,,,
isoleucine,1.87,18.3106,18.3106,18.3106,18.3106,18.3106,,,,,,,,,,,,,,,,,,,,,
isoleucine,1.87,17.707,17.707,17.707,17.707,17.707,,,,,,,,,,,,,,,,,,,,,
isoleucine,2.58,22.8473,22.8473,22.8473,22.8473,22.8473,,,,,,,,,,,,,,,,,,,,,
isoleucine,2.58,21.8979,21.8979,21.8979,21.8979,21.8979,,,,,,,,,,,,,,,,,,,,,
isoleucine,2.58,22.161,22.161,22.161,22.161,22.161,,,,,,,,,,,,,,,,,,,,,
isoleucine,2.67,18.8189,18.8189,18.8189,18.8189,18.8189,,,,,,,,,,,,,,,,,,,,,
isoleucine,2.67,18.7221,18.7221,18.7221,18.7221,18.7221,,,,,,,,,,,,,,,,,,,,,
isoleucine,2.67,19.63,19.63,19.63,19.63,19.63,,,,,,,,,,,,,,,,,,,,,
isoleucine,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
isoleucine,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
isoleucine,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
isoleucine,3.42,30.6759,30.6759,30.6759,30.6759,30.6759,,,,,,,,,,,,,,,,,,,,,
isoleucine,3.42,28.1273,28.1273,28.1273,28.1273,28.1273,,,,,,,,,,,,,,,,,,,,,
isoleucine,3.42,26.5453,26.5453,26.5453,26.5453,26.5453,,,,,,,,,,,,,,,,,,,,,
isoleucine,3.5,28.3725,28.3725,28.3725,28.3725,28.3725,,,,,,,,,,,,,,,,,,,,,
isoleucine,3.5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
isoleucine,3.5,26.2344,26.2344,26.2344,26.2344,26.2344,,,,,,,,,,,,,,,,,,,,,
isoleucine,4.93,24.5324,24.5324,24.5324,24.5324,24.5324,,,,,,,,,,,,,,,,,,,,,
isoleucine,4.93,23.7343,23.7343,23.7343,23.7343,23.7343,,,,,,,,,,,,,,,,,,,,,
isoleucine,4.93,24.4183,24.4183,24.4183,24.4183,24.4183,,,,,,,,,,,,,,,,,,,,,
isoleucine,27,22.9286,30.5965,0,25.0673,24.0887,,,,,,,,,,,,,,,,,,,,,
